id,track_name,duration_ms,acousticness,danceability,instrumentalness,liveness,loudness,speechiness,tempo,valence
03QZPaiw1N94aAFDv7k5Em, Rock 'n' Roll Star,106,2.3999999999999987e-05,0.019000000000000017,0.0037389999999999997,0.18499999999999997,0.03300000000000036,0.0023999999999999994,0.3860000000000241,0.03899999999999998
6Js4ekYgSpkrfaU33sJyeI, Shakermaker,1667,0.004660000000000001,0.011999999999999955,4e-06,0.03,0.6750000000000007,0.0024999999999999988,4.082000000000008,0.272
1KgfeuVn5OlsBEtoEmBa1t, Live Forever,13,0.000586,0.0,0.0016090000000000002,0.05269999999999998,0.15500000000000025,0.0,62.230999999999995,0.07800000000000001
3PRv7fmKiVWG8cIatkFNX3, Up In The Sky,0,3.419999999999999e-05,0.0050000000000000044,0.000287,0.03900000000000001,0.10899999999999954,0.003499999999999996,2.5979999999999848,0.020000000000000018
1YVtoErcUIG1jxnKPtihGe, Columbia,226,0.0003945,0.007999999999999952,0.16740000000000002,0.0030000000000000027,0.8940000000000001,0.002599999999999998,1.1069999999999993,0.05399999999999999
6dUfUi14QkuIpGA0GFFPyC, Supersonic,267,0.001529,0.008000000000000007,1e-06,0.06600000000000003,0.6439999999999992,0.0029,0.010000000000005116,0.020000000000000018
4H9muKIJpzTODxUxkPTgnH, Bring It On Down,333,1.23e-05,0.09899999999999998,0.000373,0.154,0.21199999999999974,0.0016000000000000042,2.7959999999999923,0.10799999999999998
2wKeVnM8OBoGjGm8Qvqhi5, Cigarettes & Alcohol,0,8.199999999999999e-05,0.08999999999999997,0.0,0.06,0.56,0.002599999999999998,12.12599999999999,0.09200000000000003
1JHCEDui9bf3hDxJcCwemy, Digsy's Dinner,800,7.299999999999999e-05,0.08499999999999999,1.5e-05,0.011999999999999983,0.18699999999999983,0.006199999999999997,25.75800000000001,0.09499999999999997
62L8HlrCQLvBHKfpu8iqLa, Slide Away,240,0.00022200000000000003,0.132,0.013395,0.076,0.30400000000000027,0.004700000000000003,26.058000000000007,0.10199999999999998
4bvi8n8Xa2kX0UG02cvuE9, Married With Children,400,0.06400000000000002,0.023999999999999966,0.0,0.03699999999999999,0.4190000000000005,0.0076999999999999985,54.563,0.13299999999999995
